Category,Reviews,Type,Content Rating,Genres,SizeNew,InstallsNew,PriceNew,LastUpdatedNewYear,LastUpdatedNewMonth,LastUpdatedNewDay,AndroidVerNew,ReviewGroupNew
BUSINESS,674730,0,Everyone,Business,0.3928871096877502,50000000,0.0,2018,5,21,3.8377519379844967,3
PERSONALIZATION,35,0,Everyone,Personalization,0.063,5000,0.0,2018,7,1,5.0,1
LIFESTYLE,0,0,Everyone,Lifestyle,0.12,500,0.0,2018,2,28,4.1,0
TOOLS,147,0,Everyone,Tools,0.042,10000,0.0,2015,1,8,3.0,1
EVENTS,0,0,Everyone,Events,0.011000000000000001,10,0.0,2017,10,15,4.0,0
SHOPPING,6012719,0,Teen,Shopping,0.3928871096877502,100000000,0.0,2018,8,6,3.8377519379844967,3
MAPS_AND_NAVIGATION,106,0,Everyone,Maps & Navigation,0.24,5000,0.0,2018,7,9,4.0,1
SOCIAL,7,0,Teen,Social,0.077,100,0.0,2018,2,2,4.0,0
PHOTOGRAPHY,7,0,Everyone,Photography,0.022000000000000002,100,0.0,2015,7,11,3.0,0
TOOLS,24,0,Everyone,Tools,0.028999999999999998,5000,0.0,2018,3,17,4.2,1
PHOTOGRAPHY,50893,0,Everyone,Photography,0.35,1000000,0.0,2014,11,20,4.0,3
BUSINESS,3,0,Everyone,Business,0.3928871096877502,1000,0.0,2016,12,19,3.8377519379844967,0
HEALTH_AND_FITNESS,20547,0,Everyone,Health & Fitness,0.057,1000000,0.0,2017,11,29,4.1,2
LIFESTYLE,581,0,Everyone,Lifestyle,0.26,100000,0.0,2018,3,4,4.4,1
BOOKS_AND_REFERENCE,210534,0,Everyone,Books & Reference,0.22,10000000,0.0,2018,6,13,4.0,3
BOOKS_AND_REFERENCE,244,0,Everyone,Books & Reference,0.040999999999999995,100000,0.0,2016,4,22,4.0,1
TOOLS,242,0,Everyone,Tools,0.032,10000,0.0,2016,10,6,4.2,1
PRODUCTIVITY,616,0,Everyone,Productivity,1.75,50000,0.0,2014,9,22,3.0,1
VIDEO_PLAYERS,1971777,0,Teen,Video Players & Editors,0.29,100000000,0.0,2018,5,11,4.1,3
FINANCE,4,0,Everyone,Finance,0.045,1000,0.0,2017,5,16,2.2,0
LIFESTYLE,1533,0,Everyone,Lifestyle,0.077,100000,0.0,2016,9,27,2.2,2
BOOKS_AND_REFERENCE,91615,0,Mature 17+,Books & Reference,0.23,5000000,0.0,2018,6,29,4.1,3
NEWS_AND_MAGAZINES,735,0,Everyone,News & Magazines,0.063,500000,0.0,2018,7,25,4.0,1
TOOLS,33,1,Everyone,Tools,0.01,500,3.99,2015,2,25,2.3,1
BUSINESS,234,0,Everyone,Business,0.034,10000,0.0,2018,4,16,4.0,1
AUTO_AND_VEHICLES,5,0,Everyone,Auto & Vehicles,0.017,100,0.0,2018,6,12,4.4,0
FAMILY,2233681,0,Teen,Strategy,0.97,50000000,0.0,2018,8,1,2.0,3
LIBRARIES_AND_DEMO,1,0,Everyone,Libraries & Demo,0.023,100,0.0,2018,3,30,4.4,0
SOCIAL,58341,0,Everyone,Social,0.09300000000000001,1000000,0.0,2015,7,25,2.3,3
HEALTH_AND_FITNESS,77563,0,Everyone,Health & Fitness,0.39,10000000,0.0,2018,7,23,4.2,3
SHOPPING,2,0,Teen,Shopping,0.028999999999999998,100,0.0,2018,2,16,4.1,0
FAMILY,1763,1,Everyone,Simulation;Pretend Play,0.3928871096877502,10000,1.49,2018,6,25,4.1,2
PERSONALIZATION,314,0,Everyone,Personalization,0.11,10000,0.0,2016,9,8,3.8377519379844967,1
SOCIAL,2052,0,Teen,Social,0.07,100000,0.0,2017,9,27,4.4,2
MEDICAL,11,1,Everyone,Medical,1.0,500,15.99,2018,1,14,4.0,0
TOOLS,63712,0,Everyone,Tools,0.3928871096877502,5000000,0.0,2016,5,12,2.3,3
VIDEO_PLAYERS,1013867,0,Everyone,Video Players & Editors,0.32,50000000,0.0,2018,8,3,4.1,3
GAME,211,0,Teen,Action,0.44,10000,0.0,2017,8,18,2.3,1
HEALTH_AND_FITNESS,623,0,Everyone 10+,Health & Fitness,0.4,50000,0.0,2017,7,17,4.0,1
FAMILY,352,0,Everyone,Entertainment,0.038,50000,0.0,2017,7,23,3.0,1
TOOLS,5,0,Everyone,Tools,0.21,500,0.0,2016,12,26,2.0,0
FAMILY,115,0,Everyone,Simulation,0.31,10000,0.0,2018,7,13,4.0,1
VIDEO_PLAYERS,3965,0,Everyone,Video Players & Editors,0.064,100000,0.0,2018,3,26,4.1,2
FAMILY,7,0,Everyone,Education,0.22,100,0.0,2017,8,9,4.1,0
FAMILY,15,0,Everyone,Entertainment,0.26,1000,0.0,2017,12,19,4.4,0
PRODUCTIVITY,6949,0,Everyone,Productivity,0.3928871096877502,10000000,0.0,2017,12,27,3.8377519379844967,2
GAME,243121,0,Teen,Arcade,0.38,5000000,0.0,2014,10,17,2.3,3
PERSONALIZATION,0,0,Everyone,Personalization,0.034,1,0.0,2018,8,1,4.0,0
LIBRARIES_AND_DEMO,1465,0,Everyone,Libraries & Demo,0.07,100000,0.0,2018,7,9,4.0,2
LIFESTYLE,209,0,Everyone,Lifestyle,0.031,50000,0.0,2017,1,24,3.0,1
BOOKS_AND_REFERENCE,123,0,Everyone,Books & Reference,0.065,1000,0.0,2017,3,15,3.0,1
VIDEO_PLAYERS,32,0,Everyone,Video Players & Editors,2.39,5000,0.0,2018,5,18,3.0,1
TOOLS,40,0,Everyone,Tools,0.07400000000000001,1000,0.0,2017,5,12,3.2,1
GAME,40,0,Everyone,Board,0.036000000000000004,5000,0.0,2016,3,15,3.0,1
PHOTOGRAPHY,34753,0,Everyone,Photography,0.22,1000000,0.0,2018,7,3,4.2,3
SPORTS,0,0,Everyone,Sports,0.26,10,0.0,2018,2,19,4.1,0
MEDICAL,40,0,Everyone,Medical,0.04,5000,0.0,2015,7,7,2.0,1
SPORTS,3,0,Everyone,Sports,0.048,50,0.0,2018,6,21,4.4,0
BOOKS_AND_REFERENCE,14,0,Everyone,Books & Reference,0.3,1000,0.0,2018,7,18,4.0,0
GAME,3,0,Everyone,Racing,0.36,100,0.0,2017,12,6,4.1,0
TRAVEL_AND_LOCAL,13275,0,Everyone,Travel & Local,0.71,1000000,0.0,2018,7,3,4.0,2
SPORTS,5015,0,Everyone,Sports,0.57,100000,0.0,2018,5,25,4.0,2
PRODUCTIVITY,3,0,Everyone,Productivity,1.08,1000,0.0,2014,1,21,3.1,0
FINANCE,19870,0,Everyone,Finance,0.07400000000000001,1000000,0.0,2018,7,24,4.0,2
GAME,24,0,Teen,Action,0.32,1000,0.0,2017,9,21,4.1,1
FAMILY,154,0,Everyone,Educational;Education,0.16,10000,0.0,2017,1,13,4.1,1
BEAUTY,1,0,Everyone,Beauty,0.022000000000000002,100,0.0,2017,8,30,2.2,0
TOOLS,1916,0,Everyone,Tools,3.64,100000,0.0,2015,12,31,2.1,2
MEDICAL,2,0,Everyone,Medical,0.076,1000,0.0,2018,7,19,5.0,0
FOOD_AND_DRINK,438,0,Everyone,Food & Drink,0.017,10000,0.0,2017,8,1,3.0,1
PRODUCTIVITY,69,0,Everyone,Productivity,0.035,1000,0.0,2016,7,8,4.0,1
